nombre,tipo,color,talla,material,estado,puestas,id
Blusa casual,Playera,Azul,M,Seda,Nueva,0,1
Pantalon de mezclilla,Pantalon,Azul,32,Algodón,Nueva,0,2
Chamarra de cuero,Chamarra,Negro,M,Cuero,Lavando,3,3
Zapatos deportivos,Zapatos,Blanco,M,Sintético,Nueva,0,4
Accesorio de moda,Accesorio,Dorado,U,Plástico,Nueva,0,5
Ropa interior,Playera,Blanco,S,Algodón,Nueva,0,6
Calcetines deportivos,Calcetines,Blanco,M,Algodón,Lavando,2,7
Camiseta básica,Playera,Blanco,M,Algodón,Lavando,1,8
Pantalón de vestir,Pantalon,Negro,32,Lana,Nueva,0,9
Cazadora,Chamarra,Verde,M,Nailon,Nueva,0,10
Sneakers,Zapatos,Gris,38,Sintético,Lavando,5,11
Gafas de sol,Accesorio,Negro,U,Plástico,Nueva,0,12
Sujetador,Playera,Rojo,34,Algodón,Nueva,0,13
Medias de lana,Calcetines,Gris,M,Lana,Nueva,0,14
Blusa de flores,Playera,Rosa,M,Seda,Nueva,0,15
Vaqueros ajustados,Pantalon,Azul,32,Denim,Nueva,0,16
Chaqueta de invierno,Chamarra,Negro,M,Lana,Nueva,0,17
Camisa hawaiana,Playera,Verde,M,Algodón,Nueva,0,18
Falda midi,Pantalon,Negro,M,Seda,Nueva,0,19
Botas de lluvia,Zapatos,Negro,38,Caucho,Nueva,0,20
Collar,Accesorio,Plata,U,Metal,Nueva,0,21
Brasier de encaje,Playera,Negro,34,Algodón,Nueva,0,22
Calcetines de vestir,Calcetines,Negro,M,Algodón,Nueva,0,23